,carbon,plant,state,year,iso_name,nerc_region,gen,price_zonal,coal,gas,oil_light,oil_heavy,uranium,water,wind,mixed_fuel,unk_fuel,acid_prog
1,0,59TH Street,NY,2015,New York ISO,NPCC,139.0004,43.04,0,0,0,0,0,0,0,0,100,N
2,0,59TH Street,NY,2014,New York ISO,NPCC,303.2736,57.94,0,0,0,0,0,0,0,0,100,N
3,0,59TH Street,NY,2013,New York ISO,NPCC,431.53306,46.09,0,0,0,0,0,0,0,0,100,N
4,0,59TH Street,NY,2012,New York ISO,NPCC,194.60056,37.2,0,0,0,0,0,0,0,0,100,N
5,0,59TH Street,NY,2011,New York ISO,NPCC,567.37436,55.98,0,0,0,0,0,0,0,0,100,N
6,0,59TH Street,NY,2010,New York ISO,NPCC,610.05056,55.75,0,0,0,0,0,0,0,0,100,N
7,0,59TH Street,NY,2009,New York ISO,NPCC,237.93,46.73,0,0,0,0,0,0,0,0,100,N
8,0,59TH Street,NY,2008,New York ISO,NPCC,878.0296,96.92,0,0,0,0,0,0,0,0,100,N
9,0,59TH Street,NY,2007,New York ISO,NPCC,745.0926,77.59,0,0,0,0,0,0,0,0,100,N
10,0,59TH Street,NY,2006,New York ISO,NPCC,1134.1562,70.1,0,0,0,0,0,0,0,0,100,N
11,0,59TH Street,NY,2005,New York ISO,NPCC,1410.0919,95.92,0,0,0,0,0,0,0,0,100,N
12,0,59TH Street,NY,2004,New York ISO,NPCC,212.128,64.54,0,0,0,0,0,0,0,0,100,N
13,0,59TH Street,NY,2003,New York ISO,NPCC,343.3976,64.13,0,0,0,0,0,0,0,0,100,N
14,0,59TH Street,NY,2002,New York ISO,NPCC,2140.992,44.73,0,0,0,0,0,0,0,0,100,N
15,0,59TH Street,NY,2001,New York ISO,NPCC,2075.1318,44.67,0,0,0,0,0,0,0,0,100,N
16,0,59TH Street,NY,2000,New York ISO,NPCC,1190.4454,50.34,0,0,0,0,0,0,0,0,100,N
17,0,59TH Street,NY,1999,New York ISO,NPCC,2878.128,32.21,0,0,0,0,0,0,0,0,100,N
18,0,74TH Street,NY,2015,New York ISO,NPCC,88.4548,43.04,0,0,0,0,0,0,0,0,100,N
19,0,74TH Street,NY,2014,New York ISO,NPCC,126.364,57.94,0,0,0,0,0,0,0,0,100,N
20,0,74TH Street,NY,2013,New York ISO,NPCC,88.4548,46.09,0,0,0,0,0,0,0,0,100,N
21,0,74TH Street,NY,2012,New York ISO,NPCC,127.35686,37.2,0,0,0,0,0,0,0,0,100,N
22,0,74TH Street,NY,2011,New York ISO,NPCC,113.7276,55.98,0,0,0,0,0,0,0,0,100,N
23,0,74TH Street,NY,2010,New York ISO,NPCC,45.2914,55.75,0,0,0,0,0,0,0,0,100,N
24,0,74TH Street,NY,2009,New York ISO,NPCC,40.60672,46.73,0,0,0,0,0,0,0,0,100,N
25,0,74TH Street,NY,2008,New York ISO,NPCC,322.805,96.92,0,0,0,0,0,0,0,0,100,N
26,0,74TH Street,NY,2007,New York ISO,NPCC,169.9334,77.59,0,0,0,0,0,0,0,0,100,N
27,0,74TH Street,NY,2006,New York ISO,NPCC,506.9752,70.1,0,0,0,0,0,0,0,0,100,N
28,0,74TH Street,NY,2005,New York ISO,NPCC,618.6456,95.92,0,0,0,0,0,0,0,0,100,N
29,0,74TH Street,NY,2004,New York ISO,NPCC,255.69,64.54,0,0,0,0,0,0,0,0,100,N
30,0,74TH Street,NY,2003,New York ISO,NPCC,560.3796,64.13,0,0,0,0,0,0,0,0,100,N
31,0,74TH Street,NY,2002,New York ISO,NPCC,25.8066,44.73,0,0,0,0,0,0,0,0,100,N
32,0,74TH Street,NY,2001,New York ISO,NPCC,42.4845,44.67,0,0,0,0,0,0,0,0,100,N
33,0,74TH Street,NY,2000,New York ISO,NPCC,64.3484,50.34,0,0,0,0,0,0,0,0,100,N
34,0,74TH Street,NY,1999,New York ISO,NPCC,257.856,32.21,0,0,0,0,0,0,0,0,100,N
